,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,chocolate,burgers,0.1638448206905746,0.0871883748833489,0.017064391414478068,0.10414971521562244,1.1945367183981406,0.0027790277654131702,1.01893323094311
1,burgers,chocolate,0.0871883748833489,0.1638448206905746,0.017064391414478068,0.19571865443425074,1.1945367183981406,0.0027790277654131702,1.0396302039322514
2,eggs,burgers,0.17970937208372217,0.0871883748833489,0.02879616051193174,0.1602373887240356,1.8378297443715457,0.013127592408644938,1.0869876949268955
3,burgers,eggs,0.0871883748833489,0.17970937208372217,0.02879616051193174,0.33027522935779813,1.8378297443715457,0.013127592408644938,1.224817512916086
4,burgers,french fries,0.0871883748833489,0.1709105452606319,0.021997067057725635,0.25229357798165136,1.4761732671141707,0.007095654366024093,1.1088435652342468
5,french fries,burgers,0.1709105452606319,0.0871883748833489,0.021997067057725635,0.12870514820592824,1.4761732671141707,0.007095654366024093,1.0476495106531305
6,green tea,burgers,0.13211571790427942,0.0871883748833489,0.0174643380882549,0.13218970736629668,1.5161391360161947,0.005945383347633816,1.0518561866169782
7,burgers,green tea,0.0871883748833489,0.13211571790427942,0.0174643380882549,0.2003058103975535,1.5161391360161947,0.005945383347633816,1.0852702112630999
8,burgers,milk,0.0871883748833489,0.12958272230369283,0.01786428476203173,0.20489296636085627,1.581175041844427,0.0065661777914124645,1.0947171146411248
9,milk,burgers,0.12958272230369283,0.0871883748833489,0.01786428476203173,0.13786008230452676,1.5811750418444268,0.0065661777914124645,1.058774343214063
10,mineral water,burgers,0.23836821757099053,0.0871883748833489,0.024396747100386616,0.10234899328859061,1.1738834841861132,0.0036138095865314197,1.0168892122794844
11,burgers,mineral water,0.0871883748833489,0.23836821757099053,0.024396747100386616,0.2798165137614679,1.1738834841861134,0.0036138095865314197,1.057552411270854
12,spaghetti,burgers,0.17411011865084655,0.0871883748833489,0.021463804826023197,0.12327718223583461,1.4139176513012162,0.006283426530108832,1.0411633034081629
13,burgers,spaghetti,0.0871883748833489,0.17411011865084655,0.021463804826023197,0.24617737003058102,1.4139176513012162,0.006283426530108832,1.0956023983820413
14,cake,eggs,0.08105585921877083,0.17970937208372217,0.019064124783362217,0.23519736842105263,1.308765178431985,0.004497627219450328,1.0725520468238643
15,eggs,cake,0.17970937208372217,0.08105585921877083,0.019064124783362217,0.10608308605341245,1.308765178431985,0.004497627219450328,1.027997262882238
16,cake,french fries,0.08105585921877083,0.1709105452606319,0.01786428476203173,0.22039473684210528,1.289532699729042,0.004010983666382591,1.0634733934209617
17,french fries,cake,0.1709105452606319,0.08105585921877083,0.01786428476203173,0.1045241809672387,1.289532699729042,0.004010983666382591,1.0262076554717212
18,cake,mineral water,0.08105585921877083,0.23836821757099053,0.027463004932675644,0.33881578947368424,1.4213966649005065,0.0081418642470121,1.1519207057632783
19,mineral water,cake,0.23836821757099053,0.08105585921877083,0.027463004932675644,0.11521252796420582,1.4213966649005063,0.0081418642470121,1.0386043765593158
20,cake,spaghetti,0.08105585921877083,0.17411011865084655,0.018130915877882948,0.2236842105263158,1.2847283791408077,0.004018270611956445,1.0638581522463673
21,spaghetti,cake,0.17411011865084655,0.08105585921877083,0.018130915877882948,0.10413476263399693,1.2847283791408075,0.004018270611956445,1.0257615793677652
22,mineral water,chicken,0.23836821757099053,0.05999200106652446,0.022796960405279298,0.09563758389261746,1.5941722595078303,0.0084967740425349,1.0394151528095574
23,chicken,mineral water,0.05999200106652446,0.23836821757099053,0.022796960405279298,0.38000000000000006,1.5941722595078303,0.0084967740425349,1.2284383587564671
24,spaghetti,chicken,0.17411011865084655,0.05999200106652446,0.01719770697240368,0.09877488514548238,1.6464675855028075,0.006752492548609391,1.0430335145345107
25,chicken,spaghetti,0.05999200106652446,0.17411011865084655,0.01719770697240368,0.2866666666666667,1.6464675855028077,0.006752492548609391,1.1577895532932057
26,eggs,chocolate,0.17970937208372217,0.1638448206905746,0.03319557392347687,0.1847181008902077,1.1273966434316094,0.003751124078003657,1.0256025311274843
27,chocolate,eggs,0.1638448206905746,0.17970937208372217,0.03319557392347687,0.20260374288039054,1.1273966434316094,0.003751124078003657,1.0287114099072503
28,chocolate,escalope,0.1638448206905746,0.0793227569657379,0.01759765364618051,0.10740439381611065,1.3540174084279766,0.0046010307544471565,1.0314606487594422
29,escalope,chocolate,0.0793227569657379,0.1638448206905746,0.01759765364618051,0.22184873949579834,1.3540174084279766,0.0046010307544471565,1.0745406731946179
